<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHG,20190416,115.00,115.00,111.00,113.90,21670
DHG,20190412,116.50,116.50,114.90,116.00,4770
DHG,20190411,117.70,118.50,112.50,116.50,56880
DHG,20190410,117.20,118.50,117.20,117.50,20270
DHG,20190409,118.40,118.40,117.50,117.50,32910
DHG,20190408,119.00,119.00,117.10,118.40,12500
DHG,20190405,120.00,120.00,118.00,119.00,23470
DHG,20190404,118.00,121.00,118.00,120.00,191570
DHG,20190403,118.50,118.50,117.50,118.30,33170
DHG,20190402,118.00,118.30,117.50,118.30,35570
DHG,20190401,118.30,118.30,117.50,118.00,37430
DHG,20190329,118.00,118.50,117.80,118.30,34530
DHG,20190328,117.70,118.50,117.70,118.20,24680
DHG,20190327,117.90,118.30,117.60,118.00,87730
DHG,20190326,118.80,118.80,117.30,118.00,21020
DHG,20190325,118.90,119.00,117.20,118.80,67520
DHG,20190322,119.00,119.00,116.00,118.90,62100
DHG,20190321,118.00,119.00,117.40,118.30,45590
DHG,20190320,116.90,117.50,116.90,117.20,232530
DHG,20190319,117.00,117.10,116.90,117.00,259680
DHG,20190318,116.60,117.30,116.60,117.10,246440
DHG,20190315,116.70,117.30,116.40,116.60,298800
DHG,20190314,117.00,117.00,116.00,116.70,412000
DHG,20190313,117.20,117.50,116.90,117.00,75180
DHG,20190312,117.09,117.29,115.32,116.50,276840
DHG,20190311,117.09,117.28,116.89,117.09,454340
DHG,20190308,117.19,117.38,116.99,116.99,208810
DHG,20190307,116.99,117.58,116.99,116.99,405240
DHG,20190306,116.49,117.57,116.49,116.99,278020
DHG,20190305,116.99,117.28,116.11,116.59,245400
DHG,20190304,116.01,117.28,116.01,116.99,295810
DHG,20190301,114.04,116.99,114.04,116.99,503080
DHG,20190228,114.43,116.69,112.17,116.50,1169730
DHG,20190227,110.11,114.14,110.11,114.04,849530
DHG,20190226,107.36,112.57,107.36,110.01,596640
DHG,20190225,101.26,107.26,100.57,107.26,1430570
DHG,20190222,94.47,100.27,94.47,100.28,601580
DHG,20190221,93.88,95.85,92.41,95.85,557900
DHG,20190220,95.36,95.36,93.19,94.57,341930
DHG,20190219,95.36,96.34,92.41,96.34,883330
DHG,20190218,92.90,95.36,89.27,95.36,982670
DHG,20190215,86.51,91.43,86.51,91.43,446610
DHG,20190214,85.52,87.29,85.52,87.30,167680
DHG,20190213,83.96,84.65,83.76,84.64,96080
DHG,20190212,84.05,84.05,83.56,83.86,51990
DHG,20190211,83.66,83.95,82.97,83.56,20660
DHG,20190201,83.56,83.66,82.38,83.66,44490
DHG,20190131,82.58,83.56,82.58,83.56,26930
DHG,20190130,82.58,82.97,82.18,82.58,15690
DHG,20190129,83.07,83.07,81.89,82.38,58520
DHG,20190128,83.46,83.46,82.08,82.38,49110
DHG,20190125,82.09,83.56,82.09,83.46,64480
